timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-09-01,357.7100,359.4400,353.5600,356.9000,356.9000,4412230,0.0000,1.0000
2020-08-31,366.6300,366.6300,357.6898,358.1900,358.1900,3948240,0.0000,1.0000
2020-08-28,357.4800,367.2500,356.1600,366.1200,366.1200,3544720,0.0000,1.0000
2020-08-27,351.7300,358.0000,350.5800,356.0000,356.0000,3811724,0.0000,1.0000
2020-08-26,348.0000,352.2900,345.5000,351.0200,351.0200,3511970,0.0000,1.0000
2020-08-25,344.7100,348.4600,343.3300,347.6600,347.6600,2862965,0.0000,1.0000
2020-08-24,339.3600,343.8300,338.7500,343.6400,343.6400,2753906,0.0000,1.0000
2020-08-21,338.0000,338.8000,335.9700,337.1000,337.1000,2681080,0.0000,1.0000
2020-08-20,330.1900,338.0000,330.1900,337.3200,337.3200,2966407,0.0000,1.0000
2020-08-19,330.0400,334.4599,330.0000,332.4000,332.4000,3420991,0.0000,1.0000
2020-08-18,330.2000,331.4000,326.3501,331.0000,331.0000,3022140,0.0000,1.0000
2020-08-17,327.0000,331.2300,326.6750,330.2300,330.2300,2894481,0.0000,1.0000
2020-08-14,325.6700,327.6400,324.8100,326.8000,326.8000,1444904,0.0000,1.0000
2020-08-13,325.9300,329.8306,325.6237,326.1900,326.1900,2527126,0.0000,1.0000
2020-08-12,328.6600,331.4000,326.2000,327.6300,327.6300,3126682,0.0000,1.0000
2020-08-11,325.0000,334.5500,323.5800,328.5400,328.5400,5273319,0.0000,1.0000
2020-08-10,327.1900,329.7400,321.8570,322.8800,322.8800,3752382,0.0000,1.0000
2020-08-07,328.0000,328.3300,323.9300,328.0200,328.0200,3662668,0.0000,1.0000
2020-08-06,327.4000,331.2150,325.9000,330.1400,330.1400,4839813,0.0000,1.0000
2020-08-05,316.3700,329.6800,315.8700,328.0000,328.0000,5799100,0.0000,1.0000
2020-08-04,312.5000,315.6900,311.1000,314.3900,314.3900,3409339,0.0000,1.0000
2020-08-03,311.0000,313.5000,309.3000,312.5900,312.5900,3908500,0.0000,1.0000
2020-07-31,310.0000,310.0900,305.6101,308.5300,308.5300,4684553,0.0000,1.0000
2020-07-30,304.0000,312.8200,303.0400,309.0000,309.0000,3941573,0.0000,1.0000
2020-07-29,304.5000,311.6600,304.1200,309.3000,309.3000,3542405,0.0000,1.0000
2020-07-28,308.5000,310.2000,306.0300,306.3300,306.3300,2116279,0.0000,1.0000
2020-07-27,307.0600,310.0000,306.0234,308.8600,308.8600,2311575,0.0000,1.0000
2020-07-24,306.4800,310.7300,304.5400,306.9200,306.9200,2500686,0.0000,1.0000
2020-07-23,313.5500,317.2400,308.7200,309.9000,309.9000,3118539,0.0000,1.0000
2020-07-22,308.1300,313.5700,308.1300,313.3700,313.3700,3303094,0.0000,1.0000
2020-07-21,313.0000,314.0500,306.3000,307.6000,307.6000,3562035,0.0000,1.0000
2020-07-20,301.9200,314.9900,301.9200,311.9600,311.9600,5278576,0.0000,1.0000
2020-07-17,301.7300,305.2400,299.4100,304.0600,304.0600,3169800,0.0000,1.0000
2020-07-16,302.9700,303.5300,298.9100,299.3500,299.3500,3309300,0.0000,1.0000
2020-07-15,303.0000,306.7700,301.3900,305.7200,305.7200,5249900,0.0000,1.0000
2020-07-14,292.0000,299.1000,288.6500,298.9500,298.9500,4781900,0.0000,1.0000
2020-07-13,297.8600,298.6200,290.0200,290.1800,290.1800,4850900,0.0000,1.0000
2020-07-10,294.0000,296.9600,291.5000,295.6800,295.6800,3030400,0.0000,1.0000
2020-07-09,299.6200,300.7200,290.5600,294.5900,294.5900,5042800,0.0000,1.0000
2020-07-08,300.9100,301.5400,297.4000,300.1500,300.1500,4114900,0.4000,1.0000
2020-07-07,303.1900,307.7900,299.4000,299.9100,299.5109,3632900,0.0000,1.0000
2020-07-06,306.6500,307.3200,303.1700,305.5700,305.1633,3012400,0.0000,1.0000
2020-07-02,304.3300,306.8900,301.3100,302.4200,302.0175,3288700,0.0000,1.0000
2020-07-01,295.9600,303.2700,295.1200,301.1700,300.7692,3803900,0.0000,1.0000
2020-06-30,293.0900,296.6000,291.0100,295.7000,295.3065,4282300,0.0000,1.0000
2020-06-29,291.3400,293.1500,285.1500,292.9300,292.5401,3639500,0.0000,1.0000
2020-06-26,296.8800,298.1100,289.1700,289.3400,288.9549,4920200,0.0000,1.0000
2020-06-25,294.1600,298.3900,290.6700,298.0100,297.6134,3292900,0.0000,1.0000
2020-06-24,305.0000,305.5200,293.0600,294.0100,293.6187,5081400,0.0000,1.0000
2020-06-23,307.0300,310.4300,304.4200,306.8800,306.4716,3799800,0.0000,1.0000
2020-06-22,299.6000,304.9500,297.7300,304.4400,304.0348,3486200,0.0000,1.0000
2020-06-19,309.5000,309.5000,296.5000,296.5000,296.1054,4532000,0.0000,1.0000
2020-06-18,301.8300,305.1000,300.5000,304.8500,304.4443,2774900,0.0000,1.0000
2020-06-17,305.0000,307.4800,303.0800,303.7600,303.3557,2562600,0.0000,1.0000
2020-06-16,305.9100,309.0900,300.1100,304.4800,304.0748,4012800,0.0000,1.0000
2020-06-15,290.0000,298.9200,288.7500,297.1700,296.7745,5932800,0.0000,1.0000
2020-06-12,298.7900,299.9900,290.8900,297.7900,297.3937,4509900,0.0000,1.0000
2020-06-11,305.0100,306.4900,291.0600,291.2500,290.8624,6498500,0.0000,1.0000
2020-06-10,312.3900,316.0600,310.2900,313.1500,312.7332,4082500,0.0000,1.0000
2020-06-09,309.7800,313.4700,308.2000,311.4900,311.0754,3313600,0.0000,1.0000
2020-06-08,311.0600,313.5800,307.0500,310.4100,309.9969,3722600,0.0000,1.0000
2020-06-05,306.8100,312.1800,305.6500,311.8800,311.4649,5056900,0.0000,1.0000
2020-06-04,305.4400,306.6200,299.3400,301.3700,300.9689,4146800,0.0000,1.0000
2020-06-03,305.4800,308.1100,302.2100,307.0700,306.6613,3428400,0.0000,1.0000
2020-06-02,304.9900,306.1100,301.6900,303.5900,303.1860,4130400,0.0000,1.0000
2020-06-01,300.8000,303.0600,297.9000,301.4000,300.9989,2841800,0.0000,1.0000
2020-05-29,302.0000,304.4300,298.8700,300.8900,300.4895,4930000,0.0000,1.0000
2020-05-28,300.9800,310.0000,298.8400,302.3000,301.8977,4520800,0.0000,1.0000
2020-05-27,304.0000,304.7300,292.1200,299.7700,299.3710,5147700,0.0000,1.0000
2020-05-26,304.6200,305.0000,301.9400,303.3300,302.9263,5244600,0.0000,1.0000
2020-05-22,295.0600,296.8000,293.0100,294.9100,294.5175,2895900,0.0000,1.0000
2020-05-21,299.3700,299.9300,292.7500,294.2600,293.8684,3942000,0.0000,1.0000
2020-05-20,295.7500,301.1500,295.3900,298.8000,298.4023,4589800,0.0000,1.0000
2020-05-19,289.1700,297.8200,287.4900,290.7300,290.3431,5210400,0.0000,1.0000
2020-05-18,285.4600,292.0900,285.0000,289.9000,289.5142,6037700,0.0000,1.0000
2020-05-15,276.0400,279.1400,273.2900,278.9400,278.5688,3810800,0.0000,1.0000
2020-05-14,270.2000,277.5600,263.9600,277.3100,276.9409,6291000,0.0000,1.0000
2020-05-13,272.3000,276.0700,264.1900,269.1600,268.8018,4793400,0.0000,1.0000
2020-05-12,280.4500,282.3300,272.1100,272.1100,271.7479,4019600,0.0000,1.0000
2020-05-11,279.5000,282.8100,277.6300,281.2300,280.8557,4056200,0.0000,1.0000
2020-05-08,283.4000,283.4200,279.5000,282.4400,282.0641,3215400,0.0000,1.0000
2020-05-07,277.8100,282.4500,277.2400,278.4700,278.0994,4370600,0.0000,1.0000
2020-05-06,276.9600,276.9600,271.5500,272.4400,272.0774,3258400,0.0000,1.0000
